index,estado,parametrizacion,grupo,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel
3,CURADO,P2_cinetica_v4,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.0008913128883893222,-0.0012949453055397554,0.002583737826687431,9.933786995035746,0.008854112379189595,-0.012863710835453413,0.025666301221329527,False,0.0,,0.013067201360616188,0.05686390734731503
0,CURADO,P3_dosis_sobrante,Sn,v5_ln_sn_dep,v5_dosis_C_sn,0.09299330215993658,-0.06710848444139711,0.24204927497319637,0.17709811788121907,0.01646893878808427,-0.011884786288432501,0.04286647103226674,False,1.0,True,0.024305422172567537,0.08080377495976304
1,CURADO,P3_dosis_sobrante,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.00666128354485669,-0.002556020488345501,0.01637724702285621,4.949228389995098,0.032968213634011916,-0.012650329166328689,0.08105473591548266,False,1.0,True,0.04865561533508302,0.13829313447744462
2,CURADO,P3_dosis_sobrante,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.000909213533208433,-0.002747200721399012,0.0007811603725919724,11.235309650211446,-0.010215295583759552,-0.03086565077620217,0.008776578672545356,False,-1.0,True,-0.015076082009636418,0.05850535574949929
3,CURADO,P3_dosis_sobrante,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.0017628621241755071,-0.000304065815970538,0.0033266701964178905,9.933786995035746,0.017511896843175744,-0.0030205250483230626,0.03304643313394905,False,0.0,,0.02584465528063029,0.053228848341747646
0,CURADO,P4_log_dosis,Sn,v5_ln_sn_dep,v5_ln_dosis_C,0.0469484931828103,-0.006253732399386569,0.09665784332205514,0.6940960770606597,0.03258676494209776,-0.004340691125401364,0.06708982986698235,False,1.0,True,0.048092660331518655,0.1054196017767997
1,CURADO,P4_log_dosis,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.006260670140445733,-0.0028185813011563942,0.015976896552803974,4.949228389995098,0.03098548639948862,-0.01394980259519255,0.07907331000315225,False,1.0,True,0.04572943878489731,0.13728668571802133
2,CURADO,P4_log_dosis,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.0009810067576993486,-0.002849187095067351,0.000688337908714482,11.235309650211446,-0.011021914691702134,-0.03201149926446813,0.007733689548386186,False,-1.0,True,-0.01626651803003071,0.058657306694453015
3,CURADO,P4_log_dosis,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.001328859550724727,-0.0005937425299904117,0.0029296855391057297,9.933786995035746,0.013200607723218337,-0.005898111822818373,0.029102872107912785,False,0.0,,0.019481907594399366,0.05165564714510858
0,CURADO,P5_minima,Sn,v5_ln_sn_dep,v5_dosis_C_sn,0.0972797367999498,-0.05095442828857698,0.2552405443246403,0.17709811788121907,0.017228058295251477,-0.00902393334762053,0.04520262000687166,False,1.0,True,0.02542575666032943,0.08002939893114423
1,CURADO,P5_minima,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.011047643103444306,0.0019339232771694063,0.018964904832228156,4.949228389995098,0.05467730889010011,0.009571427987439185,0.09386164540921882,True,1.0,True,0.08069463934101807,0.12439838084383184
2,CURADO,P5_minima,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.00037436860291108296,-0.0021536503422428673,0.0011006255194275104,11.235309650211446,-0.004206147177023068,-0.02419692847338247,0.012365868519692893,False,-1.0,True,-0.006207575616922361,0.05396062418846076
0,FULL,P1_primitivas,Sn,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,7.38226655229896,-3.8383873810703566,18.391815376540254,21.978261394673616,162.24938397158252,-84.36108119518099,404.22012586817925,False,1.0,True,0.04287260951543033,0.1291021931440665
1,FULL,P1_primitivas,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,12.031256734163573,1.2770888264449956,21.407370242316684,4.968474216699684,59.77698887818615,6.345182906627217,106.3619670962945,True,1.0,True,0.01579540975410768,0.026428331674305146
2,FULL,P1_primitivas,Sn,sn_extraido_est_kg,tasa_o2_nm3_min,3.1609001555983554,-4.444438467224392,10.872040093484243,8.623557881076179,27.25820544810512,-38.32687237099104,93.75566703154225,False,0.0,,0.007202680032810901,0.034901353687746876
3,FULL,P1_primitivas,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,0.42844098635088024,-2.6024824757217844,3.3125033897541534,9.979993793963615,4.2758383848614345,-25.972758956602473,33.05876327222989,False,0.0,,0.0011298431151970346,0.015598428417216323
0,FULL,P2_cinetica_v4,Sn,sn_extraido_est_kg,Cx_sn_v4,1.6703012230362755,-0.3181580547252407,3.2398520132576394,275.50136625823814,460.17026900930006,-87.65297876286712,892.5836561269831,False,0.0,,0.12156632090211653,0.2589558025414763
1,FULL,P2_cinetica_v4,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,16.41498175129204,5.074573593700132,28.637058797569303,4.922976013367435,80.81056142147489,24.982004079853535,140.97955355382658,True,1.0,True,0.02134827759123368,0.030643864397348005
