variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_3,0.05507994260966642,0.02178070421884778,0.011540935255260953,0.09861894996407189,0.014002697554266034,242,63,12,ysn,Sn_II,0.5,LB
gn_0,0.04466269294820775,0.01829158393529586,0.008665157110509247,0.08066022878590626,0.015201432881570661,1084,298,12,ysn,Sn_II,0.6,DEV
gn_1,0.016670638293495983,0.011053735617922304,-0.0050829312964394,0.038424207883431365,0.13258034869950816,1084,298,12,ysn,Sn_II,0.6,DEV
gn_2,0.03183524403656117,0.011401308180649964,0.009397657369304958,0.05427283070381738,0.005573926784620512,1084,298,12,ysn,Sn_II,0.6,DEV
gn_3,0.03551303480508807,0.015329233524922463,0.005345355771395884,0.06568071383878026,0.02120107540222963,1084,298,12,ysn,Sn_II,0.6,DEV
gn_0,0.11873903666267487,0.03803080688184497,0.04271653693606976,0.19476153638927995,0.0027268676053021496,242,63,12,ysn,Sn_II,0.6,LB
gn_1,0.03687017487735758,0.016201528159041315,0.0044837815550197585,0.0692565681996954,0.026329214894456037,242,63,12,ysn,Sn_II,0.6,LB
gn_2,0.03464665896662258,0.01696916046773267,0.000725790523656164,0.06856752740958899,0.04543768080414738,242,63,12,ysn,Sn_II,0.6,LB
gn_3,0.05507994260966642,0.02178070421884778,0.011540935255260953,0.09861894996407189,0.014002697554266034,242,63,12,ysn,Sn_II,0.6,LB
gn_0,0.04479533881039684,0.018433462043429688,0.008518589193279413,0.08107208842751426,0.015686581588019152,1084,298,12,ysn,FeIII_30_F,0.3,DEV
gn_1,0.0160248365386277,0.010905191618301897,-0.005436400907261232,0.03748607398451663,0.14276418930315773,1084,298,12,ysn,FeIII_30_F,0.3,DEV
gn_2,0.031076549491096186,0.011310344913125832,0.008817977035741859,0.053335121946450514,0.006369929706959414,1084,298,12,ysn,FeIII_30_F,0.3,DEV
gn_3,0.03464739293697475,0.015292559712419796,0.004551887362100545,0.06474289851184895,0.02419345965132189,1084,298,12,ysn,FeIII_30_F,0.3,DEV
gn_0,0.1112760697843914,0.0323711611973532,0.04656704057758623,0.17598509899119658,0.001054053003428053,242,63,12,ysn,FeIII_30_F,0.3,LB
gn_1,0.03775726488093217,0.01662887907441732,0.004516609250979575,0.07099792051088477,0.026657218566328866,242,63,12,ysn,FeIII_30_F,0.3,LB
