Batch,fase_proceso,c_consumido_kg,oferta_kg,utilizacion
AP0152,Fusión,8630.031652018608,8134.8186849778895,1.0608757227687446
AP0152,Reducción,2265.2428881700534,2322.80541781852,0.9752185313470955
AP0153,Fusión,8022.314502079529,7747.735966776001,1.0354398415848167
AP0153,Reducción,2821.463127749808,2144.635549743261,1.3155909534781196
AP0154,Fusión,8107.8787525757225,7429.739595877464,1.0912736103260654
AP0154,Reducción,2682.7015669973575,2191.9984559361997,1.2238610660204956
AP0155,Fusión,8472.019774836808,7558.660894773891,1.1208360704069182
AP0155,Reducción,2678.879058976099,2465.5302635238922,1.0865326208355985
AP0156,Fusión,8068.386224986023,7753.378433313134,1.0406284556316028
AP0156,Reducción,2546.352960025529,1995.7482786459661,1.2758888419300682
AP0157,Fusión,8543.643479053546,7854.320442234019,1.0877635489778237
AP0157,Reducción,1773.296702452704,2269.963489037583,0.7812005395754382
AP0158,Fusión,7816.883557331379,7506.104092260397,1.0414035645190998
AP0158,Reducción,2949.376078657122,2018.574044617456,1.4611185983103554
AP0159,Fusión,8516.583036514894,7770.786039057736,1.0959744604610928
AP0159,Reducción,1729.8699653266576,2044.5195777286563,0.8461009540678714
AP0160,Fusión,8257.443823852189,7721.394986094345,1.0694238332222645
AP0160,Reducción,2059.2193313259995,2310.432602398588,0.8912700284735464
AP0161,Fusión,8063.431663142936,7799.391946316961,1.0338538848468386
AP0161,Reducción,2259.3875858272913,2289.420168943897,0.9868820133918627
AP0162,Fusión,7839.749160972651,7865.1928364999385,0.9967650283907584
AP0162,Reducción,2610.1359065956162,2389.3362316270654,1.0924104661561982
AP0163,Fusión,7479.08504742635,7998.837284666227,0.9350215264115646
AP0163,Reducción,3421.091055500868,2393.6681151688485,1.429225310652369
AP0164,Fusión,9008.49666354649,8022.808830833417,1.12286069050092
AP0164,Reducción,1543.4185635430174,2180.7020371220656,0.7077622422822656
AP0165,Fusión,7855.005140336354,7698.0557100973165,1.0203881910120722
AP0165,Reducción,2911.8591962989335,2256.4858322320097,1.2904398311327572
AP0166,Fusión,7335.789479655929,8339.79878938792,0.8796122862089245
AP0166,Reducción,3435.319276141532,2401.402349509127,1.4305471454393093
AP0167,Fusión,8501.962737888942,7395.801298776239,1.149566138194618
AP0167,Reducción,2152.0382758716128,2491.230039888084,0.8638456671662048
AP0168,Fusión,5160.945310678966,6656.403636324959,0.7753353901970337
AP0168,Reducción,2798.476791198764,2341.5870465585117,1.1951196925656702
AP0169,Fusión,8093.885207707622,9444.394395433646,0.8570041517559882
AP0169,Reducción,2872.274881965854,2270.312674005543,1.2651450678369605
AP0170,Fusión,8292.19811194732,9169.867547342252,0.904287664912967
AP0170,Reducción,2664.2279003506683,2303.1664334651186,1.1567674231611356
AP0171,Fusión,5528.712986747987,9181.298896279292,0.6021711142623284
AP0171,Reducción,512.6558162163254,2545.453501841626,0.20140058180022574
AP0172,Fusión,8509.65625247679,9170.971779933323,0.9278903541167215
AP0172,Reducción,2229.974437807382,2453.4100490775186,0.9089285497325862
AP0173,Fusión,7200.450994988815,8507.116125790924,0.846403280326607
AP0173,Reducción,3528.884384547283,2515.753886437162,1.4027144720205234
AP0174,Fusión,7794.787600542593,8089.376772979051,0.9635832053934644
AP0174,Reducción,2495.3820678062757,2358.0658801138347,1.058232549332257
AP0175,Fusión,8506.069090597568,8374.795041681884,1.015674896909396
AP0175,Reducción,1950.1185400965574,2398.944865314482,0.8129067775973722
AP0176,Fusión,7915.170404531836,7885.935848151212,1.0037071765410668
AP0176,Reducción,3007.7565092775862,2352.4732693942083,1.2785507696978515
AP0177,Fusión,7494.707205252237,7848.497996053537,0.9549224844066729
AP0177,Reducción,2843.488309390972,2097.4159110952855,1.3557102787048478
AP0178,Fusión,7701.691359269464,8577.966897682012,0.8978457775758798
AP0178,Reducción,3457.8489700323844,2458.5966158698716,1.4064320058493895
AP0179,Fusión,6960.8059479691,7351.048974017379,0.9469132871475063
AP0179,Reducción,3275.568725627699,2335.1103991706264,1.4027468366339768
AP0180,Fusión,6885.151718234053,8282.710508420238,0.8312679419659277
AP0180,Reducción,3376.253971982022,2321.6800719901244,1.4542287771320386
AP0181,Fusión,7334.8369196378535,7604.0483502703155,0.9645963020970413
AP0181,Reducción,2845.167149710951,2435.3177452532314,1.16829401635847
AP0182,Fusión,10793.269232773471,8571.53007562989,1.2591998321816906
AP0182,Reducción,608.3134330829256,2324.6748644242784,0.2616767800057831
AP0183,Fusión,6485.246365221564,8505.009748503711,0.7625207444779842
AP0183,Reducción,3926.4809096463605,2130.4095354644246,1.8430639012279844
AP0184,Fusión,7635.790648180044,7536.280680433584,1.0132041217632481
AP0184,Reducción,2464.5513659341273,2403.2455660333967,1.0255095861892787
AP0185,Fusión,7282.861710417497,6809.297676223623,1.0695466781908276
AP0185,Reducción,3193.3871809529487,2417.517256611329,1.3209366643484353
AP0186,Fusión,7993.6005823346495,7778.177917853881,1.0276957748660251
AP0186,Reducción,2111.5218536270854,2374.409383076714,0.8892829807179315
AP0187,Fusión,7433.023674599666,7905.174567832633,0.9402731857239154
