Batch,orden_inicio,sn_pct_inicio,avance_inicio,perdida_feo_total,hubo_perdida,rendimiento_proxy_batch,f_dross,f_metal,f_polvo,es_lockbox,st_R22_sdi
AP0013,2.0,4.0942,0.9999982826653737,0.16824251716145616,1,64.58338515029256,0.1667433657228333,0.6458338515029256,0.18742278277424107,False,
AP0014,1.0,3.6137,0.9999637426593619,0.08800351363533282,1,72.27735907223597,0.11257718678359688,0.7227735907223597,0.16464922249404343,False,
AP0015,1.0,5.923,0.9998659616537258,0.16477551894621778,1,76.89084849130701,0.10379917208483966,0.7689084849130702,0.1272923430020902,False,
AP0016,1.0,2.7984,0.9999556503247695,0.14317043932976548,1,73.18325133927344,0.08946414597431734,0.7318325133927344,0.17870334063294818,False,
AP0017,0.0,20.8134,0.9999970118996524,0.13040723165105159,1,70.17902842181307,0.0684778123402213,0.7017902842181307,0.22973190344164787,False,
AP0018,1.0,4.6038,1.0,0.16775779118456613,1,70.14778707534529,0.1386899097774707,0.701477870753453,0.15983221946907644,False,
AP0019,1.0,4.4467,1.0,0.16485063627985916,1,68.85542078251675,0.09437178171045839,0.6885542078251674,0.2170740104643743,False,
AP0020,3.0,1.9277,1.0,0.05565186049446863,1,71.49362988104966,0.07676869893964335,0.7149362988104967,0.20829500224986,False,
AP0021,0.0,19.2481,0.6945642782943007,0.3221424136580002,1,71.54015202378017,0.10428212462251149,0.7154015202378016,0.18031635513968697,False,0.708846230284511
AP0022,0.0,13.7784,0.8041799627996381,0.21268243160452954,1,57.762105962367876,0.15524928539727031,0.5776210596236788,0.2671296549790508,False,0.7506381147234218
AP0023,1.0,2.6253,0.9661019456892782,0.1191198701319735,1,73.71980227073506,0.07479701333866365,0.7371980227073506,0.18800496395398575,False,1.9834238218606446
AP0024,0.0,19.9955,0.6840804489480155,0.1360850241074091,1,69.97752808840514,0.09847890920794468,0.6997752808840514,0.20174580990800395,False,1.0388738245279687
AP0025,0.0,17.8921,0.7513130893716052,0.073502890182822,1,71.64213374701936,0.08047182239334534,0.7164213374701935,0.203106840136461,False,1.8463388074577622
AP0026,2.0,2.1494,0.9739000321758351,0.1181357128679697,1,74.97094771520791,0.06748106245890709,0.7497094771520791,0.1828094603890138,False,1.884016287221527
AP0027,0.0,17.8673,0.767357895629307,0.25077065927173736,1,69.86460301210657,0.11648692833651526,0.6986460301210656,0.18486704154241906,False,0.5511032041087202
AP0028,0.0,9.9978,0.8839781706771269,0.16115763837805147,1,66.29014116195945,0.09901552951796164,0.6629014116195945,0.2380830588624438,False,0.7256023915612948
AP0029,1.0,7.8384,0.9057382649090295,0.1681936977146014,1,67.01348465735106,0.13597310097861837,0.6701348465735105,0.1938920524478711,False,1.0372962668220633
AP0030,1.0,8.578,0.8991829725900902,0.23680539269592366,1,71.22694488104591,0.11313579618065882,0.7122694488104591,0.17459475500888216,False,0.09947444983895937
AP0031,0.0,18.618,0.745612147868606,0.4405999972772293,1,64.60847930118547,0.16305205148397867,0.6460847930118547,0.19086315550416652,False,-0.4049988294288036
AP0032,0.0,18.082,0.7724420441865094,0.3701987495969112,1,72.28606164433323,0.1287781160854454,0.7228606164433323,0.1483612674712223,False,0.02368753735615381
AP0033,0.0,17.9209,0.7513982603342454,0.3720053775234969,1,70.20180396607145,0.11390270235222259,0.7020180396607145,0.18407925798706287,False,-0.7203670031219169
AP0034,0.0,14.4797,0.8181877925217553,0.2384789861645945,1,73.4113115470715,0.12387564206811426,0.7341131154707151,0.14201124246117072,False,0.8156423157717425
AP0035,,,,0.09456137986493497,0,72.33746690454569,0.07636525894527674,0.7233746690454569,0.20026007200926638,False,1.750214153379918
AP0036,0.0,12.9943,0.8494864899094089,0.36267449303645305,1,64.53171549490077,0.15123373553766578,0.6453171549490078,0.20344910951332648,False,0.30685388743797026
AP0037,1.0,3.8983,0.954186716342184,0.17644618646352817,1,69.07773087261799,0.11741428656840777,0.6907773087261798,0.19180840470541224,False,1.2089653691450206
AP0038,0.0,22.3242,0.6683809013279336,0.26137621101885633,1,70.54828998984121,0.09009885945384016,0.7054828998984121,0.2044182406477476,False,-0.12149007935818368
AP0039,0.0,19.5529,0.7218696825074384,0.415885618240836,1,67.8520960145846,0.153290372150204,0.678520960145846,0.16818866770394997,False,-0.6774435038382074
AP0040,1.0,12.6349,0.8272134193557097,0.22588087703635804,1,70.94745298054326,0.10942057836561439,0.7094745298054326,0.18110489182895298,False,0.2047701700969029
AP0041,0.0,21.7819,0.7358190057595491,0.290474599119768,1,72.81941645167599,0.09923909863338186,0.7281941645167599,0.1725667368498582,False,1.5142394144618656
AP0042,0.0,18.9759,0.7561541943347366,0.294970482776136,1,74.22791691922325,0.09897437072513515,0.7422791691922324,0.15874646008263243,False,-0.018451297541686035
AP0043,0.0,19.5579,0.7478849144171473,0.24118217599739394,1,73.85536826897214,0.08863341320041944,0.7385536826897215,0.17281290410985906,False,0.8648629657624345
AP0044,0.0,18.7882,0.7494676036533982,0.33369935803283635,1,68.36797693655916,0.0724918244135349,0.6836797693655916,0.24382840622087357,False,-0.5379282995570862
AP0045,0.0,21.222,0.7210188239663249,0.1756312239111135,1,70.620289548631,0.09644832666303656,0.7062028954863101,0.19734877785065336,False,0.7065825172845518
AP0046,0.0,17.1726,0.7894174560101362,0.3291060262630562,1,72.0754188691322,0.0988854105005467,0.7207541886913221,0.1803604008081311,False,-0.43761225200353887
AP0047,0.0,19.6197,0.7480204802583644,0.4641586090401463,1,68.62511041569327,0.10909666343066265,0.6862511041569327,0.20465223241240474,False,-1.4192211932879673
AP0048,0.0,22.7025,0.7601753043388775,0.3111851504087542,1,65.9167013299936,0.13922374538743953,0.659167013299936,0.20160924131262445,False,0.23035769670205045
AP0049,0.0,16.0788,0.8131127963325322,0.3930838209457092,1,68.82755232596378,0.11484335082920227,0.6882755232596377,0.19688112591116,False,-0.11264071713897239
AP0050,1.0,5.981,0.9505705085769138,0.2627153484200848,1,66.69978681150528,0.08379619820485104,0.6669978681150528,0.24920593368009616,False,-0.027459021675260153
AP0051,0.0,22.1186,0.7002518378690222,0.4084886301906746,1,67.12126740583344,0.15446091393663625,0.6712126740583344,0.17432641200502935,False,1.0903243608970854
AP0052,0.0,22.6021,0.5879263322228687,0.3183215853588379,1,76.92483109701323,0.04628102046099617,0.7692483109701322,0.1844706685688716,False,0.04274208689442771
AP0053,0.0,18.9404,0.763590058453876,0.4190990906070994,1,65.16159742922527,0.1430453457606558,0.6516159742922527,0.20533867994709148,False,0.47127065226719855
AP0054,0.0,18.6498,0.7295055744568051,0.5745524983026983,1,70.42641897917086,0.12036679317143814,0.7042641897917087,0.17536901703685318,False,-1.7293080743453038
AP0055,0.0,6.149,0.937958703239453,0.28181877317656656,1,65.26264948798122,0.16868606193689176,0.6526264948798123,0.1786874431832961,False,0.16571268473366974
