Batch,orden_escalon_fase,residuo_ln_masa,R,z_residuo,flag_qc
AP0018,3,-0.13471254797898347,True,-0.4642297790676067,False
AP0019,0,-0.09591591743006056,True,-0.08465362488017993,False
AP0019,1,-0.11048618220833184,True,-0.06952198266034283,False
AP0019,2,-0.11226387327528009,True,-0.11990307931695823,False
AP0019,3,-0.12471242589374043,True,-0.29077626362652353,False
AP0020,0,-0.10839057837659638,True,-0.34484764658393885,False
AP0020,1,-0.11021318751419784,True,-0.0647768737342982,False
AP0020,2,-0.13636789804828986,True,-0.5367294614126644,False
AP0020,3,-0.11886844176376243,True,-0.1894115419875328,False
AP0021,0,-0.115977286518536,True,-0.5030897111501988,False
AP0021,1,-0.16182842961653243,True,-0.9619369698185223,False
AP0021,2,-0.1653145676423513,True,-1.03729879264414,False
AP0021,3,-0.15932114794910746,True,-0.8910693854760322,False
AP0022,0,-0.07255281164566085,True,0.4026494352660294,False
AP0022,1,-0.09193404640120306,True,0.252945475891758,False
AP0022,2,-0.07894067253804238,True,0.45634878459188316,False
AP0022,3,-0.08925480830623655,True,0.3242410698912258,False
AP0023,0,-0.03957397053531153,True,1.0905156094576367,False
AP0023,1,-0.04967847992513619,True,0.9874185992493791,False
AP0023,2,-0.04742857497778452,True,1.001281580752841,False
AP0023,3,-0.05148446012972485,True,0.979373038761628,False
AP0024,0,-0.09896949462229188,True,-0.14834453669210979,False
AP0024,1,-0.052677110887076495,True,0.9352973278504833,False
AP0024,2,-0.08081284061340455,True,0.42397373300290103,False
AP0024,3,-0.09365939353739883,True,0.24784292335935726,False
AP0025,0,-0.14196633598459485,True,-1.045164187547862,False
AP0025,1,-0.12552083986483886,True,-0.33084972923881256,False
AP0025,2,-0.14727791668929946,True,-0.7253943686866088,False
AP0025,3,-0.14137952881945814,True,-0.5798694936932083,False
AP0026,0,-0.1036287637904767,True,-0.24552665557021783,False
AP0026,1,-0.1303902025202479,True,-0.41548747750577497,False
AP0026,2,-0.11619466553904623,True,-0.18787753310652106,False
AP0027,0,-0.15411226500924435,True,-1.298501583553769,False
AP0027,1,-0.1658182151405878,True,-1.0312861817629349,False
AP0027,2,-0.16652913394002233,True,-1.0583020599590853,False
AP0027,3,-0.16325192712674763,True,-0.9592492997783213,False
AP0028,0,-0.0683191268918808,True,0.4909547982280445,False
AP0028,1,-0.02004953892679673,True,1.502419642938017,False
AP0028,2,-0.04271034551847919,True,1.0828730383596137,False
AP0029,0,-0.07668874237555556,True,0.31638300648599027,False
AP0029,1,-0.13048982158436218,True,-0.4172190251163698,False
AP0029,2,-0.14621755167856776,True,-0.7070576753216451,False
AP0030,0,-0.046288303236766026,True,0.9504693800542111,False
AP0030,1,-0.08081048369935218,True,0.4462917855458988,False
AP0030,2,-0.09647100261805619,True,0.15320007258185636,False
AP0030,3,-0.0983849389216438,True,0.16587767810667858,False
AP0031,0,-0.08360962024144669,True,0.17202869871245433,False
AP0031,1,-0.13760545889284437,True,-0.5409008212556081,False
AP0031,2,-0.15272929800542023,True,-0.819664083923838,False
AP0031,3,-0.12204567700426949,True,-0.244521131365696,False
AP0032,0,0.019089780865886752,True,2.3141125850168054,True
AP0032,1,-0.04028475417311661,True,1.1506974206789418,False
AP0032,2,-0.040779439165495646,True,1.1162638399730012,False
AP0033,0,-0.1219902100861443,True,-0.6285060869505994,False
AP0033,1,-0.12832248382424716,True,-0.3795470337837203,False
AP0033,2,-0.13621476815186107,True,-0.534081414817949,False
AP0033,3,-0.1185128209885633,True,-0.1832432499310591,False
AP0034,0,-0.09303407260768637,True,-0.024544673023823158,False
AP0034,1,-0.11311121058640161,True,-0.11514941006296213,False
AP0034,2,-0.11810888386550111,True,-0.2209797518053221,False
AP0034,3,-0.12222750528805193,True,-0.2476749683648686,False
AP0035,0,-0.19603640775485154,True,-2.172947097881855,True
AP0035,1,-0.1959187963962119,True,-1.5544851298167937,False
AP0035,2,-0.21326261337272,True,-1.8664553595892666,False
AP0035,3,-0.20706995291838126,True,-1.719279082260941,False
AP0036,0,-0.06245684431875631,True,0.6132291338274182,False
AP0036,1,-0.08537307142317019,True,0.36698630379348207,False
AP0036,2,-0.08790869310776728,True,0.3012664859367635,False
AP0037,0,-0.07783923577145657,True,0.2923862417718176,False
AP0037,1,-0.09714252581664162,True,0.16241330550024863,False
AP0037,2,-0.11773365835740535,True,-0.21449104742991368,False
AP0037,3,-0.08791855679926108,True,0.3474185390683641,False
AP0038,0,-0.09083908789257222,True,0.021237885961271193,False
AP0038,1,-0.1881846181839606,True,-1.4200520479322074,False
AP0038,2,-0.155891905874471,True,-0.8743544689718964,False
AP0038,3,-0.18010049867316802,True,-1.2514901284377846,False
