Batch,idx_cronologico,es_lockbox,M_t,D_t,P_t,Sn_cargado_t,Sn_escoria_final_t,K0,K1,K2,K3,K3b,K4,K5_k1,K5_k2,K5_k3,K6,K7
AP0294,294,False,35.84252,8.05392,10.896360132,50.37899534813594,0.6561949853358844,65.414652862516,71.14576174517978,72.08467692583031,65.86439641393426,64.32321711660491,67.00835369603774,63.37255527041825,65.09561137484873,67.89196016336871,85.30113449103258,0.8165245290962092
AP0295,295,False,33.326859999999996,7.83632,12.879586352,49.61459784019794,0.6789606416550514,61.667568575098755,67.17148067458172,68.10345569791077,64.32321711660491,65.13080577754837,66.2628019006265,63.42454034152364,66.28542807034758,60.135037953578745,85.4997800279889,0.8096279247618867
AP0296,296,False,36.99696,9.113359999999998,10.105466292,53.14009353323427,0.7682119341384017,65.812403312884,69.62155604197757,70.64279317518105,65.13080577754837,64.14104627565563,63.905565679860906,68.5790453006754,62.611058585841825,67.23643251068466,83.78861063569805,0.8023574765909237
AP0297,297,False,35.93072,5.73104,11.219907612,53.12945148526833,0.5499696772757648,67.94551235340873,67.62862968755253,68.336010102211,64.14104627565563,64.4967491113646,64.20548337862252,61.924003988014285,66.5890173850911,62.24149734228278,89.16252028576439,0.8624388407978923
AP0298,298,False,31.287480000000002,9.664159999999999,12.429016528,52.03461918268497,0.6996708395063682,58.61201797619076,60.12820020870109,60.94771887338908,64.4967491113646,62.2878744355175,64.10765833702881,63.44325957542231,58.93881567608186,62.496204048550815,81.8957640677746,0.7640104279096027
AP0299,299,False,36.46188,7.93832,10.089888080000001,53.720527197288895,0.938381104563267,66.914701893064,67.87327284800011,69.07994975411796,62.2878744355175,63.930609492406816,63.66418865567291,62.585749384421426,66.00939640734907,69.57809287326371,85.43162567778327,0.8212098143702056
AP0300,300,True,34.51952,11.15608,10.641117119999999,53.39369623139887,0.9921887588244432,61.295334254739316,64.65092779941378,65.87505143447756,63.930609492406816,64.53145813360418,63.83492411562486,64.7705948574226,68.40710439633688,66.82094041529415,80.19046462486698,0.7557540568706267
AP0301,301,True,32.884879999999995,5.96904,12.806488588,52.69695418812797,0.9678109953691285,63.655865098284764,62.40375844607844,63.571282975750684,64.53145813360418,66.86684617779092,65.70284669942582,67.34943665085036,65.73676817803715,63.158130115365545,88.4456198409036,0.8463722579343346
AP0302,302,True,35.419160000000005,7.80096,8.141413256,53.57494629428877,0.6135485177517124,68.96048025564419,66.11142418219424,66.87731345280201,66.86684617779092,67.34593974345232,65.3634302116433,67.38885450857066,64.86810290804591,73.35156986127228,84.8116683722858,0.8195062854985131
AP0303,303,True,36.35212,6.940079999999999,10.200133888000002,50.20986584287377,0.4424100443200613,67.95762562185553,72.4003527787944,73.04395898224001,67.34593974345232,68.99595733765851,67.93476419509933,65.4583034826514,73.85669007835071,70.41987579059726,87.02602878660922,0.839692138537658
