regimen,tendencia,palanca,outcome,n,cov_iv,b_ols,t_ols,b_iv,se_iv,t_iv,ci_lo,ci_hi,t_dwh,p_dwh
DEV,bloque40,carbon,recuperacion_refinada_pct,298,HC1,0.1487382712647365,0.5864267108897127,2.031105298514693,0.9701170495211883,2.0936703457764887,0.12967588145316422,3.932534715576222,-2.544215085857398,0.010952362091031469
DEV,bloque40,carbon,recuperacion_refinada_pct,298,HAC,0.1487382712647365,0.5864267108897127,2.031105298514693,0.8408638600086048,2.4154983881622742,0.38301213289782776,3.6791984641315585,-2.544215085857398,0.010952362091031469
DEV,bloque40,carbon,f_dross,298,HC1,-0.1676373014351336,-0.8393871976708389,-1.2531063323591016,0.7280717746194733,-1.7211302182590964,-2.680127010613269,0.17391434589506582,1.6582178213579417,0.09727350895585604
DEV,bloque40,carbon,f_dross,298,HAC,-0.1676373014351336,-0.8393871976708389,-1.2531063323591016,0.6724719477653682,-1.8634328711007022,-2.5711513499792233,0.06493868526102009,1.6582178213579417,0.09727350895585604
DEV,bloque40,carbon,f_polvo,298,HC1,0.027213310792475784,0.25299717378139375,-0.9447490425004667,0.5928925093774766,-1.5934575450994164,-2.106818360880321,0.2173202758793874,2.002696715586271,0.04520985155048324
DEV,bloque40,carbon,f_polvo,298,HAC,0.027213310792475784,0.25299717378139375,-0.9447490425004667,0.5062719264368266,-1.8660901250236595,-1.9370420183166468,0.047543933315713494,2.002696715586271,0.04520985155048324
DEV,bloque40,carbon,f_metal,298,HC1,0.14042399064266586,0.5527680992815941,2.197855374896106,1.0179639339675826,2.159069984267338,0.20264606431964416,4.193064685472567,-2.72508613518707,0.006428471387605378
DEV,bloque40,carbon,f_metal,298,HAC,0.14042399064266586,0.5527680992815941,2.197855374896106,0.8827604791404492,2.4897528002569564,0.4676448357808254,3.9280659140113863,-2.72508613518707,0.006428471387605378
DEV,bloque40,carbon,sn_perdido_escoria_frac,298,HC1,-0.014266449411396804,-0.5015101969464661,0.1975574072072883,0.1386113332531215,1.4252615754479754,-0.07412080596882983,0.4692356203834064,-1.5419248486167845,0.12309185681353205
DEV,bloque40,carbon,sn_perdido_escoria_frac,298,HAC,-0.014266449411396804,-0.5015101969464661,0.1975574072072883,0.10485728977915809,1.8840598266784088,-0.007962880759861568,0.40307769517443814,-1.5419248486167845,0.12309185681353205
LB,lineal,gn,recuperacion_refinada_pct,63,HC1,0.4767481990074198,1.5920515818385321,-0.7861912709995522,11.715316583208605,-0.06710798341774125,-23.748211774088418,22.175829232089313,0.13069587752738354,0.8960158936283764
LB,lineal,gn,recuperacion_refinada_pct,63,HAC,0.4767481990074198,1.5920515818385321,-0.7861912709995522,9.539338085973194,-0.08241570472856825,-19.483293919507013,17.910911377507908,0.13069587752738354,0.8960158936283764
LB,lineal,gn,f_dross,63,HC1,0.2554006870351358,0.7777087291568147,-2.119576964881162,11.041160415524176,-0.19197048907114675,-23.76025137930855,19.521097449546225,0.3375732310501898,0.735684817677889
